customer_id,interarrival_time,arrival_time,service_start_time,service_time,service_completion_time,waiting_time,time_in_system
1,2.4174,2.4174,2.4174,6.0,8.4174,0.0,6.0
2,1.135,3.5525,3.5525,6.0,9.5525,0.0,6.0
3,5.7554,9.3079,9.3079,4.0,13.3079,0.0,4.0
4,1.536,10.8438,10.8438,4.0,14.8438,0.0,4.0
5,2.7119,13.5557,13.5557,3.0,16.5557,0.0,3.0
6,3.1775,16.7332,16.7332,3.0,19.7332,0.0,3.0
7,1.2707,18.0039,18.0039,5.0,23.0039,0.0,5.0
8,5.1754,23.1794,23.1794,5.0,28.1794,0.0,5.0
9,4.9648,28.1441,28.1441,3.0,31.1441,0.0,3.0
10,8.5818,36.726,36.726,5.0,41.726,0.0,5.0
11,5.6721,42.3981,42.3981,4.0,46.3981,0.0,4.0
12,6.7626,49.1607,49.1607,6.0,55.1607,0.0,6.0
13,5.498,54.6587,54.6587,5.0,59.6587,0.0,5.0
14,6.962,61.6207,61.6207,5.0,66.6207,0.0,5.0
15,5.116,66.7367,66.7367,5.0,71.7367,0.0,5.0
16,3.5035,70.2402,70.2402,7.0,77.2402,0.0,7.0
17,9.9789,80.2191,80.2191,8.0,88.2191,0.0,8.0
18,9.9612,90.1803,90.1803,4.0,94.1803,0.0,4.0
19,8.5619,98.7422,98.7422,4.0,102.7422,0.0,4.0
20,7.3703,106.1125,106.1125,6.0,112.1125,0.0,6.0
21,3.8375,109.95,109.95,3.0,112.95,0.0,3.0
22,3.067,113.017,113.017,4.0,117.017,0.0,4.0
23,3.6014,116.6184,116.6184,3.0,119.6184,0.0,3.0
24,1.632,118.2504,118.2504,4.0,122.2504,0.0,4.0
25,7.8966,126.147,126.147,3.0,129.147,0.0,3.0
26,4.6036,130.7506,130.7506,4.0,134.7506,0.0,4.0
27,8.6193,139.3698,139.3698,6.0,145.3698,0.0,6.0
28,4.4786,143.8484,143.8484,7.0,150.8484,0.0,7.0
29,9.6224,153.4708,153.4708,6.0,159.4708,0.0,6.0
30,8.6258,162.0966,162.0966,5.0,167.0966,0.0,5.0
31,1.0049,163.1015,163.1015,5.0,168.1015,0.0,5.0
32,2.8875,165.989,167.0966,4.0,171.0966,1.1076,5.1076
33,9.1924,175.1814,175.1814,3.0,178.1814,0.0,3.0
34,5.2299,180.4113,180.4113,4.0,184.4113,0.0,4.0
35,9.8232,190.2345,190.2345,6.0,196.2345,0.0,6.0
36,4.5768,194.8114,194.8114,3.0,197.8114,0.0,3.0
37,1.6573,196.4687,196.4687,2.0,198.4687,0.0,2.0
38,6.6651,203.1338,203.1338,6.0,209.1338,0.0,6.0
39,8.0066,211.1404,211.1404,4.0,215.1404,0.0,4.0
40,3.428,214.5684,214.5684,5.0,219.5684,0.0,5.0
