customer_id,interarrival_time,arrival_time,service_start_time,service_time,service_completion_time,waiting_time,time_in_system
1,9.239,9.239,9.239,5.0,14.239,0.0,5.0
2,9.662,18.901,18.901,5.0,23.901,0.0,5.0
3,7.238,26.139,26.139,10.0,36.139,0.0,10.0
4,8.424,34.563,34.563,5.0,39.563,0.0,5.0
5,8.144,42.708,42.708,5.0,47.708,0.0,5.0
6,6.788,49.496,49.496,1.0,50.496,0.0,1.0
8,3.045,57.413,57.413,1.0,58.413,0.0,1.0
7,4.873,54.368,54.368,5.0,59.368,0.0,5.0
9,3.396,60.809,60.809,3.0,63.809,0.0,3.0
10,9.37,70.179,70.179,10.0,80.179,0.0,10.0
11,7.301,77.48,77.48,10.0,87.48,0.0,10.0
12,1.952,79.432,79.432,10.0,89.432,0.0,10.0
14,3.44,92.069,92.069,5.0,97.069,0.0,5.0
13,9.197,88.629,88.629,10.0,98.629,0.0,10.0
15,7.232,99.301,99.301,10.0,109.301,0.0,10.0
16,5.14,104.441,104.441,5.0,109.441,0.0,5.0
17,3.427,107.868,107.868,5.0,112.868,0.0,5.0
18,2.883,110.751,110.751,5.0,115.751,0.0,5.0
19,6.212,116.963,116.963,5.0,121.963,0.0,5.0
20,4.706,121.669,121.669,3.0,124.669,0.0,3.0
21,6.62,128.289,128.289,5.0,133.289,0.0,5.0
22,7.264,135.553,135.553,10.0,145.553,0.0,10.0
23,8.375,143.928,143.928,10.0,153.928,0.0,10.0
24,8.679,152.606,152.606,5.0,157.606,0.0,5.0
25,6.629,159.235,159.235,10.0,169.235,0.0,10.0
26,9.698,168.933,168.933,10.0,178.933,0.0,10.0
27,5.465,174.398,174.398,10.0,184.398,0.0,10.0
28,8.988,183.386,183.386,3.0,186.386,0.0,3.0
29,8.335,191.721,191.721,10.0,201.721,0.0,10.0
30,8.358,200.079,200.079,5.0,205.079,0.0,5.0
31,2.126,202.205,202.205,3.0,205.205,0.0,3.0
32,6.134,208.339,208.339,5.0,213.339,0.0,5.0
34,1.838,215.826,215.826,3.0,218.826,0.0,3.0
33,5.649,213.988,213.988,5.0,218.988,0.0,5.0
36,5.651,225.787,225.787,3.0,228.787,0.0,3.0
37,1.061,226.847,226.847,3.0,229.847,0.0,3.0
35,4.31,220.136,220.136,10.0,230.136,0.0,10.0
38,1.081,227.929,228.787,5.0,233.787,0.858,5.858
39,6.283,234.212,234.212,5.0,239.212,0.0,5.0
40,4.699,238.91,238.91,1.0,239.91,0.0,1.0
