customer_id,interarrival_time,arrival_time,service_start_time,service_time,service_completion_time,waiting_time,time_in_system
1,2.4174,2.4174,2.4174,6.0,8.4174,0.0,6.0
2,1.135,3.5525,8.4174,6.0,14.4174,4.865,10.865
3,5.7554,9.3079,14.4174,4.0,18.4174,5.1096,9.1096
4,1.536,10.8438,18.4174,4.0,22.4174,7.5736,11.5736
5,2.7119,13.5557,22.4174,3.0,25.4174,8.8617,11.8617
6,3.1775,16.7332,25.4174,3.0,28.4174,8.6842,11.6842
7,1.2707,18.0039,28.4174,5.0,33.4174,10.4135,15.4135
8,5.1754,23.1794,33.4174,5.0,38.4174,10.2381,15.2381
9,4.9648,28.1441,38.4174,3.0,41.4174,10.2733,13.2733
10,8.5818,36.726,41.4174,5.0,46.4174,4.6915,9.6915
11,5.6721,42.3981,46.4174,4.0,50.4174,4.0193,8.0193
12,6.7626,49.1607,50.4174,6.0,56.4174,1.2567,7.2567
13,5.498,54.6587,56.4174,5.0,61.4174,1.7588,6.7588
14,6.962,61.6207,61.6207,5.0,66.6207,0.0,5.0
15,5.116,66.7367,66.7367,5.0,71.7367,0.0,5.0
16,3.5035,70.2402,71.7367,7.0,78.7367,1.4965,8.4965
17,9.9789,80.2191,80.2191,8.0,88.2191,0.0,8.0
18,9.9612,90.1803,90.1803,4.0,94.1803,0.0,4.0
19,8.5619,98.7422,98.7422,4.0,102.7422,0.0,4.0
20,7.3703,106.1125,106.1125,6.0,112.1125,0.0,6.0
21,3.8375,109.95,112.1125,3.0,115.1125,2.1625,5.1625
22,3.067,113.017,115.1125,4.0,119.1125,2.0955,6.0955
23,3.6014,116.6184,119.1125,3.0,122.1125,2.4942,5.4942
24,1.632,118.2504,122.1125,4.0,126.1125,3.8621,7.8621
25,7.8966,126.147,126.147,3.0,129.147,0.0,3.0
26,4.6036,130.7506,130.7506,4.0,134.7506,0.0,4.0
27,8.6193,139.3698,139.3698,6.0,145.3698,0.0,6.0
28,4.4786,143.8484,145.3698,7.0,152.3698,1.5214,8.5214
29,9.6224,153.4708,153.4708,6.0,159.4708,0.0,6.0
30,8.6258,162.0966,162.0966,5.0,167.0966,0.0,5.0
31,1.0049,163.1015,167.0966,5.0,172.0966,3.9951,8.9951
32,2.8875,165.989,172.0966,4.0,176.0966,6.1076,10.1076
33,9.1924,175.1814,176.0966,3.0,179.0966,0.9152,3.9152
34,5.2299,180.4113,180.4113,4.0,184.4113,0.0,4.0
35,9.8232,190.2345,190.2345,6.0,196.2345,0.0,6.0
36,4.5768,194.8114,196.2345,3.0,199.2345,1.4232,4.4232
37,1.6573,196.4687,199.2345,2.0,201.2345,2.7658,4.7658
38,6.6651,203.1338,203.1338,6.0,209.1338,0.0,6.0
39,8.0066,211.1404,211.1404,4.0,215.1404,0.0,4.0
40,3.428,214.5684,215.1404,5.0,220.1404,0.572,5.572
