customer_id,interarrival_time,arrival_time,service_start_time,service_time,service_completion_time,waiting_time,time_in_system
1,5.478,5.478,5.478,4.0,9.478,0.0,4.0
2,3.396,8.873,9.478,3.0,12.478,0.604,3.604
3,6.737,15.61,15.61,3.0,18.61,0.0,3.0
4,3.182,18.792,18.792,4.0,22.792,0.0,4.0
5,5.259,24.051,24.051,4.0,28.051,0.0,4.0
6,9.733,33.784,33.784,8.0,41.784,0.0,8.0
7,1.767,35.551,41.784,4.0,45.784,6.233,10.233
8,3.856,39.407,45.784,5.0,50.784,6.377,11.377
9,7.088,46.495,50.784,5.0,55.784,4.289,9.289
10,1.767,48.262,55.784,4.0,59.784,7.522,11.522
11,2.38,50.642,59.784,4.0,63.784,9.142,13.142
12,8.427,59.07,63.784,4.0,67.784,4.714,8.714
13,9.818,68.887,68.887,3.0,71.887,0.0,3.0
14,3.874,72.761,72.761,8.0,80.761,0.0,8.0
15,2.701,75.462,80.761,6.0,86.761,5.299,11.299
16,9.751,85.213,86.761,4.0,90.761,1.548,5.548
17,3.96,89.173,90.761,4.0,94.761,1.588,5.588
18,6.434,95.608,95.608,6.0,101.608,0.0,6.0
19,6.467,102.075,102.075,5.0,107.075,0.0,5.0
20,6.715,108.79,108.79,4.0,112.79,0.0,4.0
