customer_id,interarrival_time,arrival_time,service_start_time,service_time,service_completion_time,waiting_time,time_in_system
1,9.239,9.239,9.239,5.0,14.239,0.0,5.0
2,9.662,18.901,18.901,5.0,23.901,0.0,5.0
3,7.238,26.139,26.139,10.0,36.139,0.0,10.0
4,8.424,34.563,36.139,5.0,41.139,1.576,6.576
5,8.144,42.708,42.708,5.0,47.708,0.0,5.0
6,6.788,49.496,49.496,1.0,50.496,0.0,1.0
7,4.873,54.368,54.368,5.0,59.368,0.0,5.0
8,3.045,57.413,59.368,1.0,60.368,1.955,2.955
9,3.396,60.809,60.809,3.0,63.809,0.0,3.0
10,9.37,70.179,70.179,10.0,80.179,0.0,10.0
11,7.301,77.48,80.179,10.0,90.179,2.699,12.699
12,1.952,79.432,90.179,10.0,100.179,10.747,20.747
13,9.197,88.629,100.179,10.0,110.179,11.55,21.55
14,3.44,92.069,110.179,5.0,115.179,18.11,23.11
15,7.232,99.301,115.179,10.0,125.179,15.878,25.878
16,5.14,104.441,125.179,5.0,130.179,20.738,25.738
17,3.427,107.868,130.179,5.0,135.179,22.311,27.311
18,2.883,110.751,135.179,5.0,140.179,24.428,29.428
19,6.212,116.963,140.179,5.0,145.179,23.216,28.216
20,4.706,121.669,145.179,3.0,148.179,23.51,26.51
21,6.62,128.289,148.179,5.0,153.179,19.89,24.89
22,7.264,135.553,153.179,10.0,163.179,17.626,27.626
23,8.375,143.928,163.179,10.0,173.179,19.251,29.251
24,8.679,152.606,173.179,5.0,178.179,20.573,25.573
25,6.629,159.235,178.179,10.0,188.179,18.944,28.944
26,9.698,168.933,188.179,10.0,198.179,19.246,29.246
27,5.465,174.398,198.179,10.0,208.179,23.781,33.781
28,8.988,183.386,208.179,3.0,211.179,24.793,27.793
29,8.335,191.721,211.179,10.0,221.179,19.458,29.458
30,8.358,200.079,221.179,5.0,226.179,21.1,26.1
31,2.126,202.205,226.179,3.0,229.179,23.974,26.974
32,6.134,208.339,229.179,5.0,234.179,20.84,25.84
33,5.649,213.988,234.179,5.0,239.179,20.191,25.191
34,1.838,215.826,239.179,3.0,242.179,23.353,26.353
35,4.31,220.136,242.179,10.0,252.179,22.043,32.043
36,5.651,225.787,252.179,3.0,255.179,26.392,29.392
37,1.061,226.847,255.179,3.0,258.179,28.332,31.332
38,1.081,227.929,258.179,5.0,263.179,30.251,35.251
39,6.283,234.212,263.179,5.0,268.179,28.967,33.967
40,4.699,238.91,268.179,1.0,269.179,29.269,30.269
