customer_id,interarrival_time,arrival_time,service_start_time,service_time,service_completion_time,waiting_time,time_in_system
1,9.805,9.805,9.805,3.0,12.805,0.0,3.0
2,8.652,18.457,18.457,3.0,21.457,0.0,3.0
3,8.459,26.917,26.917,5.0,31.917,0.0,5.0
4,8.225,35.142,35.142,5.0,40.142,0.0,5.0
5,3.018,38.16,40.142,10.0,50.142,1.982,11.982
6,7.532,45.692,50.142,5.0,55.142,4.45,9.45
7,1.881,47.573,55.142,5.0,60.142,7.569,12.569
8,2.232,49.805,60.142,10.0,70.142,10.337,20.337
9,4.385,54.19,70.142,10.0,80.142,15.952,25.952
10,3.212,57.402,80.142,3.0,83.142,22.74,25.74
11,1.302,58.703,83.142,5.0,88.142,24.439,29.439
12,5.661,64.364,88.142,10.0,98.142,23.778,33.778
13,9.692,74.056,98.142,3.0,101.142,24.086,27.086
14,1.709,75.765,101.142,10.0,111.142,25.377,35.377
15,3.134,78.899,111.142,10.0,121.142,32.243,42.243
16,9.337,88.236,121.142,10.0,131.142,32.906,42.906
17,5.755,93.991,131.142,10.0,141.142,37.151,47.151
18,5.186,99.176,141.142,5.0,146.142,41.966,46.966
19,4.764,103.941,146.142,1.0,147.142,42.201,43.201
20,8.389,112.329,147.142,1.0,148.142,34.813,35.813
21,5.232,117.561,148.142,1.0,149.142,30.581,31.581
22,4.628,122.189,149.142,5.0,154.142,26.953,31.953
23,4.263,126.452,154.142,5.0,159.142,27.69,32.69
24,7.977,134.429,159.142,3.0,162.142,24.714,27.714
25,1.173,135.601,162.142,10.0,172.142,26.541,36.541
26,4.992,140.593,172.142,10.0,182.142,31.549,41.549
27,6.755,147.348,182.142,10.0,192.142,34.794,44.794
28,1.08,148.427,192.142,10.0,202.142,43.715,53.715
29,3.851,152.279,202.142,5.0,207.142,49.863,54.863
30,4.121,156.4,207.142,10.0,217.142,50.742,60.742
31,6.804,163.204,217.142,5.0,222.142,53.938,58.938
32,5.675,168.88,222.142,5.0,227.142,53.262,58.262
33,5.48,174.36,227.142,3.0,230.142,52.782,55.782
34,3.713,178.073,230.142,5.0,235.142,52.069,57.069
35,4.868,182.941,235.142,5.0,240.142,52.201,57.201
36,9.338,192.28,240.142,5.0,245.142,47.863,52.863
37,2.011,194.29,245.142,5.0,250.142,50.852,55.852
38,1.791,196.081,250.142,5.0,255.142,54.061,59.061
39,2.437,198.518,255.142,10.0,265.142,56.624,66.624
40,1.451,199.97,265.142,3.0,268.142,65.172,68.172
41,2.287,202.257,268.142,1.0,269.142,65.885,66.885
42,3.799,206.056,269.142,5.0,274.142,63.086,68.086
43,7.639,213.695,274.142,5.0,279.142,60.447,65.447
44,9.626,223.321,279.142,5.0,284.142,55.821,60.821
45,1.142,224.463,284.142,1.0,285.142,59.679,60.679
46,5.501,229.965,285.142,5.0,290.142,55.177,60.177
47,3.169,233.134,290.142,10.0,300.142,57.008,67.008
48,9.094,242.227,300.142,3.0,303.142,57.915,60.915
49,9.962,252.19,303.142,3.0,306.142,50.952,53.952
50,7.278,259.467,306.142,10.0,316.142,46.675,56.675
51,1.239,260.707,316.142,10.0,326.142,55.435,65.435
52,5.447,266.153,326.142,5.0,331.142,59.989,64.989
53,4.889,271.042,331.142,5.0,336.142,60.1,65.1
54,5.858,276.901,336.142,5.0,341.142,59.241,64.241
55,3.013,279.913,341.142,5.0,346.142,61.229,66.229
56,1.241,281.154,346.142,1.0,347.142,64.988,65.988
57,6.445,287.599,347.142,3.0,350.142,59.543,62.543
58,8.439,296.038,350.142,10.0,360.142,54.104,64.104
59,4.018,300.056,360.142,3.0,363.142,60.086,63.086
60,4.402,304.459,363.142,10.0,373.142,58.683,68.683
