customer_id,interarrival_time,arrival_time,service_start_time,service_time,service_completion_time,waiting_time,time_in_system
1,5.0714,5.0714,5.0714,4.0,9.0714,0.0,4.0
2,6.038,11.1094,11.1094,2.0,13.1094,0.0,2.0
3,9.3179,20.4273,20.4273,4.0,24.4273,0.0,4.0
4,5.1909,25.6181,25.6181,6.0,31.6181,0.0,6.0
5,5.5706,31.1887,31.1887,4.0,35.1887,0.0,4.0
7,2.6619,40.1371,40.1371,2.0,42.1371,0.0,2.0
6,6.2865,37.4751,37.4751,5.0,42.4751,0.0,5.0
8,5.6072,45.7443,45.7443,5.0,50.7443,0.0,5.0
9,6.6689,52.4132,52.4132,7.0,59.4132,0.0,7.0
10,8.1368,60.55,60.55,6.0,66.55,0.0,6.0
11,1.8471,62.3971,62.3971,6.0,68.3971,0.0,6.0
12,3.7306,66.1277,66.1277,3.0,69.1277,0.0,3.0
13,1.816,67.9438,67.9438,7.0,74.9438,0.0,7.0
14,8.2868,76.2306,76.2306,6.0,82.2306,0.0,6.0
15,7.2409,83.4715,83.4715,3.0,86.4715,0.0,3.0
16,1.3769,84.8484,84.8484,5.0,89.8484,0.0,5.0
17,9.8397,94.6882,94.6882,2.0,96.6882,0.0,2.0
18,9.6828,104.371,104.371,3.0,107.371,0.0,3.0
19,6.8853,111.2563,111.2563,4.0,115.2563,0.0,4.0
20,6.5401,117.7964,117.7964,3.0,120.7964,0.0,3.0
