customer_id,interarrival_time,arrival_time,service_start_time,service_time,service_completion_time,waiting_time,time_in_system
1,1.7843,1.7843,1.7843,6.0,7.7843,0.0,6.0
2,3.9933,5.7776,7.7843,7.0,14.7843,2.0067,9.0067
3,9.6767,15.4543,15.4543,4.0,19.4543,0.0,4.0
4,7.8224,23.2766,23.2766,4.0,27.2766,0.0,4.0
5,2.0619,25.3385,27.2766,6.0,33.2766,1.9381,7.9381
6,3.2175,28.556,33.2766,6.0,39.2766,4.7206,10.7206
7,1.9094,30.4655,39.2766,5.0,44.2766,8.8112,13.8112
8,1.539,32.0045,44.2766,6.0,50.2766,12.2721,18.2721
9,8.1732,40.1777,50.2766,5.0,55.2766,10.0989,15.0989
10,2.5991,42.7768,55.2766,7.0,62.2766,12.4998,19.4998
11,6.0337,48.8104,62.2766,4.0,66.2766,13.4662,17.4662
12,5.0268,53.8373,66.2766,6.0,72.2766,12.4393,18.4393
13,2.7162,56.5534,72.2766,7.0,79.2766,15.7232,22.7232
14,7.587,64.1405,79.2766,4.0,83.2766,15.1361,19.1361
15,2.1787,66.3192,83.2766,5.0,88.2766,16.9574,21.9574
16,6.7934,73.1126,88.2766,4.0,92.2766,15.164,19.164
17,2.0486,75.1612,92.2766,4.0,96.2766,17.1154,21.1154
18,4.7868,79.948,96.2766,3.0,99.2766,16.3286,19.3286
19,2.9158,82.8638,99.2766,2.0,101.2766,16.4128,18.4128
20,3.4282,86.2919,101.2766,6.0,107.2766,14.9847,20.9847
21,9.7384,96.0303,107.2766,4.0,111.2766,11.2463,15.2463
22,8.2307,104.261,111.2766,5.0,116.2766,7.0156,12.0156
23,3.7373,107.9983,116.2766,6.0,122.2766,8.2783,14.2783
24,8.9638,116.9621,122.2766,4.0,126.2766,5.3145,9.3145
25,2.8964,119.8585,126.2766,4.0,130.2766,6.4181,10.4181
26,4.5485,124.407,130.2766,3.0,133.2766,5.8697,8.8697
27,8.6894,133.0963,133.2766,6.0,139.2766,0.1803,6.1803
28,6.7765,139.8729,139.8729,6.0,145.8729,0.0,6.0
29,1.903,141.7759,145.8729,6.0,151.8729,4.097,10.097
30,9.9037,151.6796,151.8729,7.0,158.8729,0.1933,7.1933
31,2.9192,154.5988,158.8729,5.0,163.8729,4.2741,9.2741
32,3.3245,157.9233,163.8729,5.0,168.8729,5.9496,10.9496
33,7.9542,165.8775,168.8729,4.0,172.8729,2.9954,6.9954
34,3.9606,169.8381,172.8729,6.0,178.8729,3.0348,9.0348
35,3.6669,173.505,178.8729,4.0,182.8729,5.3679,9.3679
36,1.6606,175.1656,182.8729,4.0,186.8729,7.7073,11.7073
37,1.8111,176.9766,186.8729,4.0,190.8729,9.8962,13.8962
38,6.2446,183.2213,190.8729,5.0,195.8729,7.6516,12.6516
39,3.1871,186.4084,195.8729,5.0,200.8729,9.4645,14.4645
40,6.4116,192.8199,200.8729,5.0,205.8729,8.0529,13.0529
41,4.3453,197.1653,205.8729,4.0,209.8729,8.7076,12.7076
42,5.0789,202.2441,209.8729,4.0,213.8729,7.6287,11.6287
43,9.6322,211.8763,213.8729,6.0,219.8729,1.9965,7.9965
44,5.3535,217.2299,219.8729,4.0,223.8729,2.643,6.643
45,6.1711,223.401,223.8729,4.0,227.8729,0.4719,4.4719
46,8.7987,232.1997,232.1997,3.0,235.1997,0.0,3.0
47,2.6454,234.8452,235.1997,4.0,239.1997,0.3546,4.3546
48,2.3872,237.2324,239.1997,3.0,242.1997,1.9673,4.9673
49,9.1758,246.4082,246.4082,4.0,250.4082,0.0,4.0
50,8.3602,254.7684,254.7684,5.0,259.7684,0.0,5.0
51,3.2455,258.0139,259.7684,8.0,267.7684,1.7545,9.7545
52,2.7082,260.7221,267.7684,5.0,272.7684,7.0463,12.0463
53,7.6548,268.3769,272.7684,4.0,276.7684,4.3915,8.3915
54,9.4636,277.8406,277.8406,5.0,282.8406,0.0,5.0
55,2.7693,280.6099,282.8406,5.0,287.8406,2.2307,7.2307
56,9.5512,290.1611,290.1611,6.0,296.1611,0.0,6.0
57,8.9397,299.1008,299.1008,5.0,304.1008,0.0,5.0
58,6.4318,305.5326,305.5326,7.0,312.5326,0.0,7.0
59,4.7931,310.3258,312.5326,4.0,316.5326,2.2069,6.2069
60,1.9346,312.2603,316.5326,4.0,320.5326,4.2723,8.2723
